Connection duration;Private;Public;Workplace
0.5;0.054455798;0.137149018;0.085903151
1.5;0.081863621;0.158196575;0.108374643
2.5;0.060850034;0.129995996;0.093373942
3.5;0.046412584;0.096718102;0.082040761
4.5;0.031393841;0.06768139;0.06899972
5.5;0.018162478;0.040170696;0.046885127
6.5;0.014042011;0.027157682;0.038045858
7.5;0.021361573;0.027062873;0.045987406
8.5;0.043229307;0.04194584;0.081856838
9.5;0.060577182;0.037961853;0.076529629
10.5;0.062684867;0.027641812;0.041023665
11.5;0.064088673;0.025645784;0.029585384
12.5;0.072531279;0.028520307;0.030113069
13.5;0.077533573;0.031881985;0.032554433
14.5;0.058319229;0.025334125;0.024963215
15.5;0.037629901;0.017279411;0.016741404
16.5;0.028708815;0.012996876;0.013332253
17.5;0.023129182;0.01574028;0.010963145
18.5;0.018411604;0.007522172;0.009224632
19.5;0.01459167;0.005772243;0.007462033
20.5;0.012049003;0.004699088;0.005995025
21.5;0.009739643;0.003656191;0.004922139
22.5;0.008090666;0.002880574;0.003980627
23.5;0.006833173;0.002325842;0.003382876
24;0.073310292;0.024063284;0.037759025
