Arrival time;Private;Public;Workplace
00:00;0.00868451;0.0023;0.0038
00:15;0.005905678;0.0017;0.0029
00:30;0.004028516;0.0013;0.0022
00:45;0.002657555;0.0009;0.0019
01:00;0.001961529;0.0007;0.0015
01:15;0.001471147;0.0005;0.0012
01:30;0.00111786;0.0004;0.0009
01:45;0.000717118;0.0003;0.0007
02:00;0.000785666;0.0003;0.0005
02:15;0.000495655;0.0002;0.0004
02:30;0.000358559;0.0002;0.0004
02:45;0.00043238;0.0002;0.0003
03:00;0.000316376;0.0001;0.0003
03:15;0.000316376;0.0001;0.0003
03:30;0.000279465;0.0001;0.0003
03:45;0.000284738;0.0002;0.0003
04:00;0.000237282;0.0001;0.0003
04:15;0.000290011;0.0001;0.0003
04:30;0.000242555;0.0001;0.0004
04:45;0.000358559;0.0002;0.0004
05:00;0.000205644;0.0003;0.0005
05:15;0.000142369;0.0002;0.0006
05:30;0.00017928;0.0003;0.0008
05:45;0.000242555;0.0005;0.0012
06:00;0.000453472;0.0006;0.0018
06:15;0.000274192;0.0008;0.0022
06:30;0.00034274;0.0018;0.0033
06:45;0.000674935;0.0034;0.0048
07:00;0.000838395;0.0065;0.0069
07:15;0.001154771;0.0078;0.0109
07:30;0.00203535;0.0115;0.0159
07:45;0.001697882;0.0157;0.0213
08:00;0.00228845;0.0193;0.0295
08:15;0.002383363;0.0223;0.0336
08:30;0.00419725;0.0296;0.0397
08:45;0.00497237;0.0304;0.0408
09:00;0.003390492;0.0287;0.0422
09:15;0.002831562;0.0207;0.0357
09:30;0.00259428;0.0168;0.0331
09:45;0.002457184;0.015;0.0298
10:00;0.002483548;0.0145;0.0272
10:15;0.002821016;0.0116;0.0192
10:30;0.002915928;0.0116;0.0155
10:45;0.003105754;0.0116;0.0136
11:00;0.003422129;0.012;0.0121
11:15;0.00349595;0.0104;0.0103
11:30;0.00410761;0.0107;0.0101
11:45;0.004392348;0.0113;0.0102
12:00;0.004777272;0.0124;0.0111
12:15;0.005452206;0.0126;0.0106
12:30;0.005900405;0.0134;0.0113
12:45;0.005642032;0.0147;0.0124
13:00;0.005562938;0.0155;0.013
13:15;0.00571058;0.0137;0.0119
13:30;0.005541846;0.0136;0.0127
13:45;0.005457479;0.0132;0.0123
14:00;0.006079684;0.0133;0.0126
14:15;0.006174597;0.0115;0.011
14:30;0.006896988;0.0118;0.0105
14:45;0.007614106;0.0121;0.011
15:00;0.007571923;0.013;0.0112
15:15;0.008837425;0.0118;0.0103
15:30;0.009807644;0.0127;0.0099
15:45;0.010329663;0.0131;0.0102
16:00;0.011057327;0.0135;0.0103
16:15;0.013219227;0.0132;0.0097
16:30;0.014806378;0.0141;0.0097
16:45;0.01772758;0.015;0.0105
17:00;0.022499578;0.0175;0.0108
17:15;0.027171391;0.0194;0.011
17:30;0.032639416;0.0226;0.0123
17:45;0.039177845;0.0252;0.0144
18:00;0.045505357;0.0279;0.0157
18:15;0.045573905;0.0286;0.0159
18:30;0.041967223;0.0261;0.0156
18:45;0.037184679;0.024;0.0159
19:00;0.033646545;0.0224;0.0157
19:15;0.030994263;0.0203;0.0152
19:30;0.026485911;0.018;0.0136
19:45;0.024313465;0.0162;0.0123
20:00;0.023585801;0.0146;0.0109
20:15;0.023011052;0.0122;0.0099
20:30;0.022436303;0.0112;0.0095
20:45;0.021935375;0.0104;0.0085
21:00;0.02178246;0.0096;0.0078
21:15;0.023174513;0.0092;0.0076
21:30;0.022072471;0.0086;0.0073
21:45;0.022299207;0.0086;0.0073
22:00;0.022657766;0.0082;0.0068
22:15;0.022958323;0.0078;0.007
22:30;0.023337974;0.0072;0.0067
22:45;0.022204294;0.0065;0.0066
23:00;0.021339534;0.0057;0.0059
23:15;0.017996499;0.0048;0.0057
23:30;0.014495275;0.0041;0.0052
23:45;0.012343921;0.003;0.0046
